Candidate.Ref,DOJ.Extended,Duration.to.accept.offer,Notice.period,Offered.band,Pecent.hike.expected.in.CTC,Percent.hike.offered.in.CTC,Percent.difference.CTC,Joining.Bonus,Candidate.relocate.actual,Gender,Candidate.Source,Rex.in.Yrs,LOB,Location,Age,Status
2285282,No,2,30,E2,42.89,42.89,0,No,No,Male,Direct,3,INFRA,Noida,29,1
2285381,No,21,45,E1,54.76,42.86,-7.69,No,No,Male,Direct,3,ERS,Chennai,34,0
2285385,Yes,9,120,E2,24.14,27.59,2.78,No,No,Male,Direct,11,ERS,Bangalore,35,0
2285455,No,1,60,E1,70.21,70.21,0,No,No,Male,Employee Referral,3,ETS,Chennai,27,0
2285469,No,15,30,E2,13.4,13.4,0,No,Yes,Male,Direct,8,BFSI,Bangalore,34,1
2285507,No,12,75,E2,7.53,7.53,0,No,No,Male,Direct,6,AXON,Kolkata,31,0
2285592,No,3,0,E2,80.7,80.7,0,No,No,Male,Direct,4,INFRA,Chennai,27,1
2285662,No,0,60,E1,25,25,0,No,No,Female,Direct,3,AXON,Kolkata,26,1
2285680,Yes,19,30,E2,56.25,45.83,-6.67,No,Yes,Male,Employee Referral,2,INFRA,Noida,25,1
2285682,Yes,56,75,E3,-9.17,-9.17,0,No,No,Male,Direct,13,ETS,Bangalore,39,1
2285709,Yes,68,75,E1,40.21,40.21,0,No,Yes,Male,Employee Referral,3,ETS,Noida,25,1
2285719,No,0,30,E2,100,80,-10,No,No,Male,Direct,2,INFRA,Chennai,26,1
2285738,No,33,45,E1,66.67,8.33,-35,No,No,Male,Direct,2,ERS,Bangalore,24,1
2285745,Yes,10,30,E2,42.86,42.86,0,No,No,Male,Employee Referral,9,INFRA,Chennai,31,1
2285746,Yes,105,120,E1,66.67,66.67,0,No,Yes,Male,Employee Referral,6,ERS,Chennai,29,1
2285757,Yes,72,75,E2,20.83,20.83,0,No,Yes,Male,Direct,8,EAS,Chennai,40,1
2285824,Yes,89,90,E3,27.27,21.21,-4.76,No,No,Male,Direct,11,ETS,Bangalore,36,1
2285869,Yes,1,0,E1,42.86,51.79,6.25,No,Yes,Male,Direct,4,EAS,Bangalore,30,1
2285882,No,0,0,E2,42.12,49.87,5.46,No,No,Male,Direct,3,INFRA,Chennai,26,1
2285932,No,0,0,E2,52.48,52.48,0,No,Yes,Male,Direct,5,INFRA,Noida,34,1
2285955,Yes,5,0,E1,50,33.33,-11.11,Yes,Yes,Male,Direct,3,AXON,Noida,26,1
2286029,Yes,3,45,E2,18.18,41.82,20,No,Yes,Male,Employee Referral,7,ERS,Noida,33,1
2286033,Yes,0,45,E2,20.39,15.57,-4,No,No,Male,Direct,10,EAS,Hyderabad,33,1
2286070,No,53,75,E2,11.94,11.94,0,No,No,Male,Direct,7,ERS,Chennai,30,1
2286119,Yes,68,75,E1,30,30,0,No,No,Male,Direct,4,AXON,Bangalore,27,1
2286127,No,0,30,E2,24.67,24.67,0,No,No,Male,Direct,4,INFRA,Chennai,26,1
2286163,Yes,63,60,E2,25.19,25.19,0,No,No,Male,Direct,7,INFRA,Noida,32,1
2286189,Yes,7,30,E1,0,0,0,No,No,Female,Employee Referral,5,ETS,Chennai,32,1
2286197,Yes,32,45,E1,71.43,37.14,-20,No,No,Female,Direct,3,AXON,Noida,23,1
2286265,No,5,0,E2,18.52,28.89,8.75,No,Yes,Female,Employee Referral,5,ETS,Noida,29,1
2286282,Yes,1,0,E1,30.95,30.95,0,No,Yes,Male,Direct,4,ETS,Chennai,28,1
2286286,Yes,88,120,E1,68.07,47.06,-12.5,No,No,Male,Direct,3,ERS,Chennai,27,0
2286321,Yes,0,0,E1,14.58,14.58,0,No,No,Male,Direct,3,AXON,Kolkata,27,1
2286368,No,0,0,E1,29,29,0,No,No,Female,Direct,5,AXON,Kolkata,30,1
2286369,No,14,45,E2,50,100,33.33,No,No,Male,Employee Referral,5,INFRA,Hyderabad,30,1
2286371,Yes,56,120,E2,53.85,35.9,-11.67,No,No,Male,Direct,1,AXON,Chennai,29,0
2286440,No,31,60,E2,31.25,31.25,0,Yes,Yes,Male,Direct,6,AXON,Kolkata,34,1
2286456,Yes,0,75,E2,45.32,45.32,0,No,No,Male,Direct,3,INFRA,Noida,30,1
2286464,Yes,7,0,E1,20.97,20.97,0,No,No,Female,Direct,6,ETS,Bangalore,29,1
2286494,No,3,0,E1,19.05,19.05,0,No,No,Female,Employee Referral,3,INFRA,Chennai,29,1
2286623,Yes,4,30,E2,32.49,21.44,-8.33,No,No,Male,Employee Referral,5,INFRA,Noida,28,1
2286627,Yes,4,0,E1,20,34.72,12.27,No,Yes,Male,Direct,1,INFRA,Noida,27,1
2286629,No,0,0,E1,46.67,44,-1.82,No,No,Male,Direct,1,INFRA,Noida,25,1
2286668,Yes,2,0,E1,73.61,35.42,-22,No,No,Female,Direct,3,AXON,Bangalore,28,1
2286704,Yes,84,60,E2,24.05,24.05,0,No,No,Male,Employee Referral,8,INFRA,Gurgaon,31,0
2286705,Yes,9,90,E2,50,40,-6.67,No,Yes,Male,Direct,5,AXON,Noida,33,1
2286784,No,0,30,E2,29.63,29.63,0,No,No,Male,Direct,6,INFRA,Noida,27,1
2286813,Yes,3,0,E1,54.76,54.76,0,No,No,Male,Direct,3,INFRA,Kolkata,27,1
2286836,Yes,15,30,E1,32.74,32.74,0,No,No,Male,Direct,4,AXON,Bangalore,31,1
2286848,No,0,0,E2,24.2,11.13,-10.53,No,No,Male,Employee Referral,12,AXON,Kolkata,40,1
2286850,Yes,1,30,E1,56.86,56.86,0,No,Yes,Female,Direct,5,ERS,Noida,30,1
2286861,Yes,1,30,E1,5.42,5.42,0,No,No,Male,Direct,3,ERS,Noida,29,1
2286868,No,2,45,E1,59.72,38.89,-13.04,No,Yes,Female,Direct,4,ERS,Noida,29,1
2286875,No,0,30,E2,49.26,49.26,0,No,Yes,Male,Direct,4,INFRA,Noida,27,1
2286887,No,10,30,E1,7.14,7.14,0,No,Yes,Female,Direct,8,ETS,Noida,32,1
2286914,No,1,30,E1,36.9,36.9,0,No,No,Male,Direct,4,AXON,Bangalore,29,1
2286937,Yes,73,30,E1,146.64,146.64,0,No,No,Male,Direct,3,ETS,Chennai,26,1
2287049,No,18,30,E3,11.34,11.34,0,No,No,Male,Direct,10,INFRA,Chennai,35,1
2287072,No,1,30,E1,40,-13.6,-38.29,No,No,Male,Direct,1,INFRA,Noida,24,1
2287090,Yes,69,75,E2,10.17,-2.54,-11.54,No,Yes,Male,Direct,8,ERS,Bangalore,32,1
2287091,No,0,0,E1,26.77,26.77,0,No,Yes,Female,Direct,1,INFRA,Chennai,24,1
2287119,Yes,2,30,E1,66.67,66.67,0,No,No,Male,Direct,4,EAS,Hyderabad,30,1
2287133,Yes,59,75,E2,42.86,42.86,0,No,Yes,Male,Direct,6,Healthcare,Chennai,30,1
2287150,Yes,95,120,E1,57.14,57.14,0,No,No,Male,Direct,3,ETS,Noida,26,1
2287162,Yes,38,45,E2,8.7,8.7,0,No,Yes,Male,Direct,8,CSMP,Kolkata,32,1
2287165,Yes,42,60,E2,7.02,0.33,-6.25,No,No,Male,Employee Referral,7,EAS,Bangalore,31,1
2287184,Yes,0,0,E1,21.82,21.82,0,Yes,Yes,Male,Employee Referral,3,EAS,Chennai,28,1
2287211,No,40,30,E1,101.51,101.51,0,No,No,Female,Employee Referral,3,BFSI,Chennai,25,1
2287229,No,23,60,E1,34.62,36.54,1.43,No,No,Male,Agency,2,ERS,Bangalore,25,0
2287232,Yes,66,60,E2,32.65,32.65,0,No,No,Male,Employee Referral,6,EAS,Bangalore,43,1
2287285,No,57,75,E2,41.79,41.79,0,No,No,Male,Employee Referral,6,ETS,Bangalore,30,0
2287299,Yes,2,45,E1,65.06,-0.14,-39.5,No,No,Female,Direct,8,ERS,Chennai,33,1
2287319,No,11,30,E2,30,30,0,No,No,Male,Direct,8,AXON,Kolkata,33,1
2287320,No,10,30,E1,26.77,26.77,0,No,No,Male,Direct,1,INFRA,Chennai,25,1
2287325,No,2,30,E1,66.67,66.67,0,No,No,Male,Direct,1,INFRA,Noida,25,1
2287339,No,0,0,E2,66.67,55,-7,No,No,Male,Direct,6,ETS,Bangalore,30,1
2291775,Yes,5,30,E2,66.67,66.67,0,No,No,Male,Direct,7,ERS,Bangalore,31,1
2291824,No,29,45,E3,15.38,15.38,0,No,Yes,Male,Direct,8,INFRA,Noida,37,1
2293431,Yes,1,30,E1,68.67,68.67,0,No,No,Female,Direct,4,ETS,Bangalore,30,1
2294055,No,7,30,E1,25.71,37.14,9.09,No,No,Male,Direct,6,CSMP,Bangalore,27,1
2294419,No,1,30,E2,53.85,46.15,-5,No,No,Female,Direct,7,EAS,Chennai,35,1
2297270,Yes,1,30,E1,8.11,8.11,0,No,No,Male,Direct,4,ETS,Chennai,27,1
2297327,No,4,60,E1,64.56,30.38,-20.77,No,No,Male,Direct,2,ERS,Bangalore,23,0
2297344,No,6,60,E3,42.13,36.77,-3.77,No,No,Male,Direct,9,INFRA,Noida,31,0
2297908,No,1,90,E1,33.33,23.33,-7.5,No,No,Male,Direct,3,EAS,Noida,29,0
2297941,No,14,30,E1,35.42,35.42,0,No,No,Male,Direct,4,ETS,Bangalore,28,1
2298116,Yes,67,60,E2,36.36,27.27,-6.67,No,No,Male,Direct,9,INFRA,Chennai,29,1
2298336,No,3,30,E2,24.44,24.44,0,No,No,Female,Direct,5,CSMP,Pune,31,1
2298365,No,4,30,E1,27.27,21.82,-4.29,No,No,Male,Direct,4,EAS,Chennai,28,1
2298374,No,5,30,E2,50,50,0,No,No,Male,Direct,4,INFRA,Noida,32,1
2301536,No,0,30,E2,50,25,-16.67,No,No,Female,Direct,3,INFRA,Bangalore,26,1
2301590,No,0,60,E1,38.3,38.3,0,No,No,Male,Direct,4,ERS,Chennai,27,0
2301611,No,0,60,E2,66.67,83.33,10,No,No,Male,Direct,3,INFRA,Noida,26,1
2301629,No,1,30,E2,52,52,0,No,No,Male,Direct,3,INFRA,Bangalore,26,1
2301648,Yes,46,30,E2,44.33,44.33,0,No,No,Male,Direct,4,INFRA,Bangalore,28,1
2301649,No,2,30,E1,21.95,0,-18,No,No,Male,Employee Referral,4,INFRA,Noida,30,1
2301652,No,1,30,E1,78.57,78.57,0,No,No,Female,Direct,2,ETS,Noida,26,1
2301661,Yes,13,30,E1,25,25,0,No,No,Male,Direct,3,ETS,Noida,30,1
2301662,Yes,1,30,E1,76.21,76.21,0,No,No,Male,Direct,3,ETS,Chennai,29,1
2301665,Yes,13,30,E1,33.33,33.33,0,No,No,Male,Direct,2,ETS,Chennai,28,1
2301666,No,0,30,E1,31.25,31.25,0,No,No,Male,Direct,3,ETS,Noida,29,1
2301673,Yes,5,90,E2,30,20,-7.69,No,No,Male,Direct,6,BFSI,Bangalore,30,0
2301676,Yes,67,45,E2,25,27.5,2,No,No,Male,Direct,1,INFRA,Noida,36,1
2301697,No,0,60,E2,27.5,28.13,0.49,No,No,Male,Direct,5,INFRA,Noida,29,1
2301704,No,9,30,E1,33.77,33.77,0,No,No,Male,Direct,2,INFRA,Noida,26,1
2301720,Yes,46,60,E1,100,95,-2.5,No,No,Male,Direct,2,ERS,Chennai,24,1
2302197,Yes,8,30,E1,25,38.89,11.11,No,No,Male,Direct,1,INFRA,Noida,24,1
2302209,Yes,25,60,E2,17.65,5.88,-10,No,No,Male,Direct,6,ERS,Chennai,28,0
2302211,No,3,30,E1,31.87,37.36,4.17,No,No,Male,Direct,1,INFRA,Noida,24,1
2302319,Yes,0,90,E1,50.75,31.91,-12.5,No,No,Female,Direct,3,ERS,Chennai,26,1
2302377,Yes,14,60,E2,70.73,46.34,-14.29,No,No,Male,Direct,7,ERS,Bangalore,35,1
2302438,No,16,30,E1,69.23,42.31,-15.91,No,No,Male,Direct,1,INFRA,Mumbai,25,1
2302452,No,3,30,E2,66.67,100,20,No,No,Male,Direct,2,INFRA,Mumbai,26,1
2302469,Yes,30,30,E1,25,-14.29,-31.43,No,No,Male,Direct,1,INFRA,Chennai,24,0
2302470,Yes,74,30,E2,50.58,47.85,-1.82,No,No,Male,Direct,5,INFRA,Hyderabad,33,1
2302486,No,27,30,E1,40,-5,-32.14,No,No,Male,Direct,2,INFRA,Mumbai,26,1
2303698,Yes,6,30,E1,2.98,2.98,0,No,No,Male,Direct,4,INFRA,Chennai,27,0
2309606,No,5,30,E1,44.44,44.44,0,No,No,Male,Direct,4,ETS,Bangalore,31,0
2309634,Yes,10,30,E1,96.43,96.43,0,No,No,Male,Direct,3,ERS,Chennai,29,1
2309682,Yes,6,60,E1,25.84,19.97,-4.67,No,No,Male,Direct,4,BFSI,Bangalore,29,1
2309687,No,0,30,E1,92.31,92.31,0,No,No,Male,Direct,3,ETS,Noida,28,1
2309688,Yes,4,90,E2,10,10,0,No,No,Male,Direct,9,EAS,Bangalore,33,1
2309695,Yes,57,30,E1,66.67,66.67,0,No,No,Female,Direct,4,ETS,Noida,28,0
2309700,Yes,66,60,E1,20.65,20.65,0,No,No,Male,Direct,4,ETS,Noida,31,1
2309711,Yes,0,30,E2,45.83,35.42,-7.14,No,No,Male,Direct,7,CSMP,Noida,33,1
2309714,No,1,30,E1,38.89,33.33,-4,No,No,Male,Direct,2,INFRA,Gurgaon,24,1
2309739,No,0,30,E2,44.74,44.74,0,No,No,Male,Direct,8,INFRA,Noida,28,1
2309761,Yes,20,30,E2,55.56,44.44,-7.14,No,No,Female,Direct,6,BFSI,Gurgaon,36,0
2309776,Yes,89,60,E1,60.98,51.22,-6.06,No,No,Female,Direct,4,ERS,Chennai,26,1
2309805,Yes,1,30,E1,27.91,27.91,0,No,No,Male,Direct,3,ETS,Bangalore,30,1
2309808,No,0,30,E2,66.67,66.67,0,No,No,Male,Agency,4,INFRA,Chennai,30,1
2309843,No,10,30,E2,71.43,62.86,-5,No,No,Male,Employee Referral,3,INFRA,Noida,29,1
2309846,Yes,84,60,E1,53.7,38.89,-9.64,No,No,Male,Agency,3,ERS,Bangalore,29,1
2309851,Yes,18,30,E1,38.89,38.89,0,No,No,Male,Direct,3,ETS,Bangalore,26,1
2309853,Yes,36,30,E2,24.62,24.62,0,No,No,Male,Direct,3,INFRA,Chennai,27,1
2309856,No,7,30,E1,35.9,35.9,0,No,No,Male,Direct,3,ETS,Bangalore,26,1
2309857,Yes,11,60,E2,33.33,71.46,28.6,No,No,Male,Employee Referral,4,INFRA,Noida,28,1
2309892,No,5,30,E0,42.86,42.86,0,No,No,Female,Direct,0,INFRA,Chennai,23,1
2309894,No,5,30,E0,42.86,42.86,0,No,No,Male,Direct,0,INFRA,Chennai,23,1
2309895,No,5,30,E0,42.86,42.86,0,No,No,Male,Direct,0,INFRA,Chennai,26,1
2309896,No,5,30,E0,42.86,42.86,0,No,No,Female,Direct,0,INFRA,Chennai,23,1
2309914,Yes,27,30,E1,20,20,0,No,No,Male,Direct,4,ETS,Bangalore,26,1
2309985,Yes,6,30,E1,24.07,24.07,0,No,No,Female,Agency,4,EAS,Chennai,31,1
2310382,No,2,30,E2,36.36,40.91,3.33,No,No,Male,Agency,6,ERS,Bangalore,31,1
2311432,Yes,68,60,E1,28.57,50,16.67,No,No,Male,Direct,3,ERS,Chennai,26,1
2311760,Yes,109,90,E1,42.86,28.57,-10,No,No,Female,Direct,5,EAS,Chennai,30,1
2312770,Yes,73,60,E1,57.89,27.37,-19.33,No,No,Male,Direct,6,ERS,Chennai,28,1
2314265,No,1,30,E1,34.75,45.39,7.89,No,No,Male,Direct,2,CSMP,Noida,26,1
2314523,No,1,30,E3,2.15,0,-2.11,No,No,Male,Direct,1,INFRA,Chennai,38,1
2318368,Yes,17,30,E1,44.44,24.44,-13.85,No,No,Male,Agency,4,ERS,Noida,33,1
2318388,Yes,1,30,E1,50,22,-18.67,No,No,Male,Agency,4,ERS,Noida,27,0
2322593,Yes,52,60,E3,10,10,0,No,No,Male,Agency,13,ETS,Bangalore,40,0
2322664,No,3,60,E2,37.5,37.5,0,No,No,Male,Direct,4,INFRA,Chennai,27,1
2322668,No,0,30,E2,-8.23,-8.23,0,No,No,Male,Direct,8,AXON,Noida,31,1
2322698,Yes,1,30,E1,52.78,33.33,-12.73,No,No,Male,Agency,3,ERS,Chennai,27,1
2322706,Yes,19,60,E2,62.79,45.35,-10.71,No,No,Male,Direct,7,ERS,Chennai,30,0
2322707,Yes,6,30,E3,0,0,0,No,No,Male,Direct,13,AXON,Bangalore,49,1
2322708,No,5,30,E0,42.86,42.86,0,No,No,Female,Direct,0,INFRA,Chennai,23,1
2322712,No,5,30,E0,42.86,42.86,0,No,No,Male,Direct,0,INFRA,Bangalore,23,1
2322714,No,5,30,E0,42.86,42.86,0,No,No,Female,Direct,0,INFRA,Bangalore,23,1
2322715,No,5,30,E0,42.86,42.86,0,No,No,Male,Direct,0,INFRA,Bangalore,23,1
2322717,No,5,30,E0,42.86,42.86,0,No,No,Female,Direct,0,INFRA,Bangalore,23,1
2322718,No,5,30,E0,42.86,42.86,0,No,No,Female,Direct,0,INFRA,Bangalore,23,1
2322720,No,5,30,E0,42.86,42.86,0,No,No,Female,Direct,0,INFRA,Bangalore,22,1
2322721,No,5,30,E0,42.86,42.86,0,No,No,Female,Direct,0,INFRA,Bangalore,23,1
2322722,No,5,30,E0,42.86,42.86,0,No,No,Male,Direct,0,INFRA,Bangalore,23,1
2322723,No,5,30,E0,42.86,42.86,0,No,No,Female,Direct,0,INFRA,Bangalore,23,1
2322724,No,5,30,E0,42.86,42.86,0,No,No,Female,Direct,0,INFRA,Bangalore,24,1
2322742,Yes,63,60,E2,51.52,51.52,0,No,No,Female,Direct,6,BFSI,Bangalore,31,0
2322764,No,1,30,E1,38.3,11.7,-19.23,No,No,Male,Agency,3,ERS,Noida,26,0
2322784,Yes,4,30,E1,38.3,11.7,-19.23,No,No,Female,Agency,3,ERS,Noida,26,0
2322835,No,6,30,E1,30,25,-3.85,No,No,Female,Agency,5,ERS,Chennai,33,1
2322839,Yes,2,30,E1,44.44,33.33,-7.69,No,No,Male,Direct,3,ETS,Bangalore,26,0
2322842,Yes,58,30,E1,78.44,78.44,0,No,No,Male,Direct,3,ETS,Bangalore,24,0
2322844,Yes,26,30,E1,19.05,19.05,0,No,No,Male,Direct,3,ETS,Noida,27,1
2322880,Yes,71,60,E2,67.74,44.52,-13.85,No,No,Male,Agency,8,ERS,Chennai,32,1
2322889,No,65,60,E1,85.19,66.67,-10,No,No,Male,Agency,3,ERS,Chennai,25,1
2322902,Yes,97,60,E1,97.37,73.68,-12,No,No,Male,Agency,4,ERS,Bangalore,30,1
2322906,Yes,1,30,E1,38.89,56.94,13,No,No,Male,Direct,8,BFSI,Mumbai,31,1
2322908,No,0,30,E1,56.25,50,-4,No,No,Male,Agency,5,ERS,Chennai,32,0
2322933,No,1,60,E1,66.67,50,-10,No,No,Male,Direct,3,ERS,Chennai,26,1
2323037,Yes,2,30,E1,7.69,7.69,0,No,No,Female,Direct,4,BFSI,Chennai,26,1
2323061,No,2,30,E1,33.33,16.67,-12.5,No,No,Male,Agency,3,ERS,Chennai,31,0
2323100,No,3,60,E1,33.33,52.22,14.17,No,No,Female,Agency,4,ERS,Noida,29,1
2323115,Yes,20,30,E2,42.86,42.86,0,No,No,Male,Direct,3,INFRA,Bangalore,28,1
2323127,No,38,90,E1,20.37,20.37,0,No,No,Male,Agency,5,BFSI,Bangalore,32,1
2323202,Yes,39,30,E2,21.14,21.14,0,No,No,Male,Direct,5,INFRA,Noida,31,0
2323213,Yes,12,60,E1,45.63,28.16,-12,No,No,Male,Agency,4,ERS,Chennai,27,0
2323216,No,4,90,E2,32.53,34.94,1.82,No,No,Male,Direct,7,EAS,Chennai,30,0
2323276,Yes,10,30,E1,66.67,83.33,10,No,No,Male,Direct,4,INFRA,Noida,30,1
2323320,No,0,60,E2,35.84,32.07,-2.78,No,No,Male,Direct,4,INFRA,Noida,25,1
2323353,No,3,30,E1,67.79,67.79,0,No,No,Male,Direct,3,CSMP,Noida,24,0
2323406,Yes,6,30,E1,79.49,58.97,-11.43,No,No,Male,Direct,3,CSMP,Noida,26,1
2323420,Yes,1,60,E2,26.98,23.81,-2.5,No,No,Male,Direct,6,INFRA,Noida,28,1
2323426,Yes,7,90,E1,9.09,-4.55,-12.5,No,No,Male,Agency,3,ERS,Noida,31,1
2325910,Yes,3,30,E2,15.38,17.95,2.22,No,No,Male,Agency,6,ERS,Chennai,30,1
2325933,No,0,0,E1,11.11,-16.67,-25,No,No,Female,Direct,1,INFRA,Noida,24,1
2326125,Yes,7,30,E1,22.22,22.22,0,No,No,Male,Direct,2,INFRA,Chennai,25,1
2326727,No,0,60,E1,22.22,16.67,-4.55,No,No,Female,Agency,3,ERS,Chennai,28,1
2327989,Yes,31,30,E1,28.05,28.05,0,No,No,Female,Agency,3,ERS,Chennai,25,1
2328076,No,2,30,E1,45.45,29.55,-10.94,No,No,Male,Direct,1,ERS,Bangalore,26,1
2328085,No,0,0,E2,-10.19,-10.19,0,Yes,No,Male,Direct,3,INFRA,Bangalore,31,0
2328118,No,1,30,E2,46,46,0,No,No,Male,Direct,5,INFRA,Noida,35,1
2328121,No,1,30,E3,36.36,36.36,0,No,No,Male,Direct,7,INFRA,Noida,30,1
2328145,Yes,3,30,E2,25,18.33,-5.33,No,No,Male,Direct,7,AXON,Bangalore,31,1
2328172,No,3,30,E1,14.11,14.11,0,No,No,Female,Direct,2,INFRA,Chennai,24,1
2328181,No,3,60,E2,50,36.67,-8.89,No,No,Male,Direct,2,INFRA,Mumbai,26,1
2328182,Yes,2,30,E2,8.11,8.11,0,No,No,Male,Direct,9,ETS,Noida,35,1
2328202,Yes,6,60,E2,50,100,33.33,No,No,Female,Direct,8,ERS,Bangalore,32,0
2328204,Yes,12,30,E1,25,25,0,No,No,Male,Direct,3,ERS,Chennai,27,1
2328234,No,103,30,E1,42.86,30,-9,No,No,Male,Direct,8,ERS,Bangalore,34,1
2328236,Yes,74,60,E1,41.18,41.18,0,No,No,Female,Direct,3,ERS,Chennai,25,1
2328251,No,7,60,E1,64.27,49.08,-9.25,No,No,Male,Direct,5,ERS,Chennai,28,0
2328276,No,3,30,E3,34.45,34.45,0,No,No,Male,Direct,9,ETS,Chennai,36,1
2328282,Yes,3,30,E1,43.27,43.27,0,No,No,Female,Direct,2,ETS,Bangalore,25,1
2328283,No,4,45,E1,53.06,42.86,-6.67,No,No,Male,Direct,3,ERS,Chennai,25,1
2328289,No,6,60,E1,87.5,35.42,-27.78,No,No,Male,Direct,2,ERS,Chennai,24,0
2328309,Yes,37,30,E3,30,30,0,No,No,Male,Agency,7,INFRA,Hyderabad,34,1
2328311,Yes,56,60,E2,31.25,28.13,-2.38,No,No,Male,Direct,6,AXON,Bangalore,33,1
2328315,No,2,60,E2,29.41,23.53,-4.55,No,No,Male,Direct,6,ERS,Chennai,34,0
2328316,Yes,63,60,E3,29.41,35.29,4.55,No,No,Male,Agency,11,ETS,Bangalore,36,1
2328350,Yes,92,90,E2,18.75,18.75,0,No,No,Female,Employee Referral,7,ETS,Chennai,32,1
2328418,Yes,35,30,E1,40.85,26.76,-10,No,No,Male,Direct,1,INFRA,Chennai,24,1
2328432,Yes,1,30,E1,39.16,39.16,0,No,No,Male,Direct,2,INFRA,Noida,24,1
2328438,No,2,60,E1,33.33,16.67,-12.5,No,No,Female,Direct,3,ERS,Chennai,24,0
2328445,Yes,28,30,E1,56.25,30.21,-16.67,No,No,Male,Direct,1,AXON,Chennai,31,1
2328458,Yes,0,30,E1,17.86,7.14,-9.09,No,No,Female,Direct,1,INFRA,Noida,24,1
2328460,No,1,30,E1,24,24,0,No,No,Male,Direct,1,INFRA,Noida,24,1
2328468,Yes,9,30,E1,86.92,63.55,-12.5,No,No,Female,Direct,3,ERS,Chennai,26,0
2328548,Yes,69,30,E2,34.72,34.72,0,No,No,Male,Direct,6,INFRA,Noida,32,1
2328549,Yes,70,60,E2,30.91,35.84,3.76,No,No,Male,Direct,6,INFRA,Chennai,34,1
2328609,Yes,36,60,E1,60.71,29.46,-19.44,No,No,Male,Agency,3,ETS,Bangalore,27,1
2328635,No,1,30,E1,43.05,43.05,0,No,No,Male,Direct,2,INFRA,Chennai,27,1
2328686,Yes,28,90,E2,46.67,46.67,0,No,No,Male,Direct,7,EAS,Noida,31,1
2330428,No,0,30,E1,31.58,30,-1.2,No,No,Male,Direct,4,ERS,Chennai,28,1
2340930,Yes,3,45,E2,42.86,42.86,0,No,No,Male,Direct,9,EAS,Hyderabad,37,1
2340943,Yes,23,60,E3,30,15,-11.54,No,No,Male,Direct,6,INFRA,Noida,33,0
2340950,Yes,25,30,E2,35.14,35.14,0,No,No,Male,Direct,8,BFSI,Bangalore,31,0
2340999,Yes,11,30,E2,16.36,0,-14.06,No,No,Female,Agency,9,ERS,Bangalore,36,1
2341079,No,0,30,E3,23.08,23.08,0,No,No,Male,Direct,9,ETS,Bangalore,35,1
2341092,Yes,34,30,E1,25,25,0,No,No,Male,Agency,4,CSMP,Noida,26,1
2341114,Yes,92,30,E1,57.89,31.32,-16.83,No,No,Male,Direct,4,ERS,Bangalore,31,1
2341169,No,2,60,E1,38.16,31.58,-4.76,No,No,Male,Direct,3,ERS,Chennai,29,1
2341181,No,6,30,E1,45.77,45.77,0,No,No,Male,Agency,3,ERS,Chennai,25,1
2341189,Yes,2,60,E1,84.05,84.05,0,No,No,Male,Direct,3,EAS,Noida,27,1
2341195,Yes,2,30,E1,87.19,87.19,0,No,No,Male,Employee Referral,2,INFRA,Noida,25,1
2341196,Yes,19,30,E1,11.11,22.22,10,No,No,Male,Direct,3,INFRA,Chennai,26,1
2341197,No,40,30,E1,16.67,-23.33,-34.29,No,No,Male,Direct,3,INFRA,Chennai,28,0
2341198,No,2,30,E1,53.85,66.15,8,No,No,Female,Direct,1,INFRA,Chennai,25,1
2341226,No,1,30,E1,18.18,18.18,0,No,No,Male,Direct,4,ETS,Chennai,31,1
2341246,No,0,60,E3,14.29,19.29,4.38,No,No,Male,Agency,9,INFRA,Noida,39,0
2341250,Yes,49,60,E2,33.33,28,-4,No,No,Male,Direct,6,AXON,Bangalore,38,1
2341260,Yes,24,60,E3,33.33,33.33,0,No,No,Female,Agency,10,ERS,Noida,34,1
2341276,Yes,27,30,E2,36.36,127.27,66.67,No,No,Male,Agency,5,INFRA,Noida,26,0
2341282,No,31,60,E2,33.33,33.33,0,No,No,Female,Agency,6,ERS,Noida,34,1
2341304,Yes,1,30,E1,25,25,0,No,No,Male,Direct,4,EAS,Chennai,27,1
2341321,No,2,30,E1,8.7,-13.04,-20,No,No,Male,Direct,3,INFRA,Mumbai,27,1
2341328,Yes,110,60,E1,66.67,54.76,-7.14,No,No,Male,Direct,3,BFSI,Bangalore,32,0
2341343,Yes,5,60,E2,60,60,0,No,No,Male,Direct,9,ERS,Bangalore,33,1
2341375,No,1,60,E1,29.31,-3.45,-25.33,No,No,Male,Direct,4,ERS,Noida,30,0
2341377,No,44,60,E2,28.57,20,-6.67,No,No,Male,Agency,6,ERS,Noida,36,1
2341380,No,49,60,E1,51.16,51.16,0,No,No,Male,Direct,2,ERS,Chennai,26,0
2341385,Yes,55,60,E2,22.73,15.45,-5.93,No,No,Male,Direct,7,CSMP,Noida,38,1
2341463,No,2,30,E1,25,25,0,No,No,Male,Direct,4,ETS,Chennai,28,1
2341532,No,2,45,E2,95.65,95.65,0,No,No,Male,Direct,4,INFRA,Chennai,37,1
2341540,No,34,30,E1,19.57,19.57,0,No,No,Male,Agency,3,BFSI,Bangalore,30,1
2341573,No,45,45,E1,44.58,44.58,0,No,No,Male,Direct,3,BFSI,Mumbai,27,1
2341594,Yes,29,30,E1,38.89,45.83,5,No,No,Male,Direct,3,ERS,Chennai,26,1
